Nombre_Articulo,Nombre_Producto,Nombre_Color,PeriodoMes,Tipo,Unidades,Valor_USD
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202011,Continuo,130,4490.64
Lavamano,JGO LAVATORIO ASPIO PLUS BONE,BONE,202012,Continuo,138,4809.37
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202001,Continuo,923,21087.72
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202002,Continuo,549,12842.41
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202003,Continuo,297,6907.06
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202004,Continuo,85,1028.25
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202005,Continuo,248,5747.81
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202006,Continuo,856,19641.17
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202007,Continuo,785,17023.69
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202008,Continuo,776,17553.97
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202009,Continuo,677,14833.73
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202010,Continuo,984,21510.19
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202011,Continuo,667,15058.01
Lavamano,JGO LAVATORIO CHELSEA  BLANCO,BLANCO,202012,Continuo,632,13947.58
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202001,Continuo,478,11224.73
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202002,Continuo,421,10001.44
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202003,Continuo,,
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202004,Continuo,67,755.54
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202005,Continuo,121,2836.87
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202006,Continuo,771,18224.29
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202007,Continuo,602,13874.12
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202008,Continuo,468,9461.79
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202009,Continuo,746,15792.37
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202010,Continuo,661,14949.54
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202011,Continuo,483,10582.67
Lavamano,JGO LAVATORIO CHELSEA CP BONE,BONE,202012,Continuo,527,12480.66
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202001,Continuo,122,2946.35
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202002,Continuo,59,1483.07
Lavamano,JGO LAVATORIO CHELSEA CP VERDE TEAL,VERDE TEAL,202003,Continuo,26,644.54
